0.515000 0.457300   0.560000 0.559054   
0.549000 0.496836   0.554000 0.571520   
0.586000 0.521832   0.545000 0.570353   
0.634000 0.544346   0.533000 0.568187   
0.695000 0.565038   0.520000 0.566203   
0.750000 0.581564   0.526000 0.560045   
0.750000 0.596625   0.434000 0.562430   
0.750000 0.591263   0.361000 0.510550   
0.750000 0.585501   0.313000 0.469246   
0.750000 0.581657   0.289000 0.444335   
0.703000 0.579961   0.288000 0.433674   
0.657000 0.579881   0.311000 0.427706   
0.621000 0.581978   0.344000 0.433198   
0.590000 0.583731   0.378000 0.446187   
0.572000 0.582945   0.424000 0.462445   
0.568000 0.582907   0.429000 0.486536   
0.572000 0.576767   0.416000 0.492187   
0.573000 0.568843   0.405000 0.490726   
0.546000 0.560941   0.394000 0.489796   
0.504000 0.548070   0.386000 0.484527   
0.467000 0.530743   0.378000 0.477502   
0.439000 0.512353   0.372000 0.471217   
0.419000 0.495302   0.367000 0.466714   
0.401000 0.480164   0.363000 0.464060   
0.386000 0.466205   0.368000 0.462315   
0.390000 0.454442   0.395000 0.465872   
0.390000 0.452926   0.410000 0.484039   
0.389000 0.448474   0.424000 0.494221   
0.387000 0.443581   0.436000 0.502965   
0.384000 0.439029   0.445000 0.509713   
0.381000 0.435297   0.451000 0.514245   
0.377000 0.431973   0.455000 0.516697   
0.372000 0.428079   0.458000 0.517237   
0.368000 0.426171   0.460000 0.516729   
0.363000 0.424987   0.460000 0.515465   
0.358000 0.423660   0.457000 0.511954   
0.354000 0.423219   0.451000 0.506628   
0.349000 0.423933   0.445000 0.499677   
0.346000 0.424501   0.437000 0.491543   
0.342000 0.426080   0.428000 0.482811   
0.340000 0.428443   0.419000 0.472894   
0.343000 0.431491   0.410000 0.463099   
0.361000 0.436316   0.402000 0.454658   
0.378000 0.444664   0.397000 0.450790   
0.391000 0.453673   0.404000 0.448411   
0.403000 0.462335   0.409000 0.451814   
0.412000 0.470428   0.413000 0.453732   
0.416000 0.476961   0.412000 0.455625   
0.417000 0.480366   0.410000 0.454046   
0.417000 0.481749   0.408000 0.451502   
0.416000 0.482349   0.406000 0.449251   
0.414000 0.482787   0.403000 0.446581   
0.412000 0.482481   0.400000 0.443526   
0.410000 0.481644   0.398000 0.440212   
0.407000 0.481157   0.395000 0.437923   
0.404000 0.479428   0.392000 0.435006   
0.401000 0.477957   0.390000 0.431783   
0.397000 0.476663   0.387000 0.429784   
0.394000 0.474581   0.384000 0.426688   
0.390000 0.472773   0.382000 0.423828   
0.387000 0.470805   0.379000 0.421221   
0.383000 0.467194   0.383000 0.420190   
0.345000 0.452902   0.417000 0.432527   
0.261000 0.431427   0.407000 0.451972   
0.168000 0.388800   0.362000 0.439545   
0.089000 0.341329   0.313000 0.406546   
0.017000 0.298909   0.325000 0.374669   
-0.000000 0.279771   0.382000 0.370723   
-0.016000 0.277312   0.456000 0.405224   
-0.061000 0.282448   0.509000 0.446694   
-0.110000 0.287041   0.541000 0.463829   
-0.163000 0.290791   0.585000 0.465380   
-0.182000 0.302870   0.604000 0.465911   
-0.170000 0.302133   0.567000 0.468746   
-0.121000 0.278489   0.514000 0.465811   
-0.096000 0.242147   0.469000 0.465172   
-0.155000 0.213524   0.508000 0.455821   
-0.062000 0.228186   0.557000 0.461065   
-0.008000 0.226841   0.662000 0.510140   
0.069000 0.250854   0.750000 0.559426   
0.168000 0.267527   0.750000 0.597027   
0.288000 0.266908   0.750000 0.622702   
0.384000 0.285533   0.750000 0.648108   
0.383000 0.317532   0.750000 0.659682   
0.382000 0.325539   0.750000 0.643857   
0.381000 0.337418   0.644000 0.622827   
0.377000 0.329481   0.526000 0.558982   
0.363000 0.315695   0.449000 0.476199   
0.355000 0.309608   0.404000 0.414452   
0.445000 0.314549   0.440000 0.373736   
0.461000 0.367484   0.464000 0.398537   
0.424000 0.397913   0.461000 0.396309   
0.391000 0.407810   0.460000 0.366409   
0.359000 0.415438   0.475000 0.343618   
0.329000 0.420607   0.497000 0.333381   
0.302000 0.421327   0.513000 0.333887   
0.279000 0.416456   0.525000 0.337015   
0.258000 0.409380   0.534000 0.342149   
0.241000 0.399779   0.540000 0.348130   
0.228000 0.390384   0.542000 0.354024   
0.219000 0.382170   0.539000 0.358380   
0.254000 0.375256   0.524000 0.360116   
0.315000 0.395100   0.498000 0.352534   
0.377000 0.435382   0.330000 0.336326   
0.435000 0.475398   0.237000 0.242346   
0.485000 0.516741   0.165000 0.211026   
0.505000 0.543485   0.125000 0.016429   
0.521000 0.557756   0.063000 0.013112   
0.538000 0.570682   -0.012000 0.010056   
0.576000 0.583619   -0.092000 0.007842   
0.604000 0.599660   -0.178000 0.006730   
0.622000 0.609767   -0.269000 0.006758   
0.618000 0.615825   -0.328000 0.007757   
0.607000 0.617119   -0.385000 0.008554   
0.585000 0.531813   -0.289000 0.107746   
0.558000 0.523244   -0.264000 0.104499   
0.526000 0.514107   -0.225000 0.101138   
0.492000 0.504277   -0.170000 0.099050   
