//dist, ballAng, tarAng, coll, obstAng, spin, for0, for1
 138.367, -0.299, -0.270, 582.301, 1.057, 0.030, 0.410, 0.386
 143.432, -0.332, -0.264, 579.631, 1.033, 0.024, 0.434, 0.378
 148.557, -0.360, -0.257, 576.794, 1.014, 0.019, 0.465, 0.369
 153.727, -0.383, -0.251, 573.847, 1.000, 0.014, 0.495, 0.359
 158.913, -0.400, -0.244, 569.316, -0.311, 0.008, 0.519, 0.350
 164.090, -0.410, -0.238, 563.492, -0.315, 0.001, 0.536, 0.340
 169.245, -0.413, -0.231, 557.682, -0.313, -0.005, 0.545, 0.331
 174.361, -0.411, -0.225, 551.871, -0.305, -0.011, 0.545, 0.323
 179.438, -0.404, -0.219, 546.059, -0.292, -0.016, 0.532, 0.321
 184.454, -0.391, -0.214, 540.229, -0.274, -0.021, 0.506, 0.329
 189.364, -0.374, -0.209, 534.344, -0.253, -0.025, 0.483, 0.327
 194.184, -0.355, -0.205, 528.427, -0.230, -0.026, 0.476, 0.308
 198.935, -0.333, -0.201, 522.500, -0.205, -0.028, 0.470, 0.290
 203.638, -0.309, -0.198, 516.585, -0.177, -0.030, 0.456, 0.308
 208.286, -0.282, -0.196, 510.682, -0.149, -0.031, 0.442, 0.346
 212.836, -0.257, -0.195, 504.748, -0.121, -0.030, 0.433, 0.382
 217.288, -0.234, -0.195, 498.792, -0.097, -0.026, 0.449, 0.415
 221.636, -0.214, -0.195, 492.803, -0.076, -0.023, 0.460, 0.444
 225.863, -0.197, -0.196, 486.762, -0.059, -0.019, 0.469, 0.468
 229.950, -0.183, -0.197, 480.647, -0.045, -0.016, 0.468, 0.481
 233.894, -0.172, -0.199, 474.463, -0.034, -0.012, 0.465, 0.490
 237.662, -0.163, -0.201, 468.170, -0.025, -0.010, 0.462, 0.498
 241.230, -0.156, -0.204, 461.740, -0.018, -0.008, 0.458, 0.504
 244.618, -0.150, -0.207, 455.188, -0.013, -0.006, 0.453, 0.509
 247.846, -0.147, -0.210, 448.533, -0.011, -0.003, 0.449, 0.510
 250.945, -0.147, -0.214, 441.803, -0.011, -0.000, 0.444, 0.509
 253.952, -0.150, -0.217, 435.035, -0.014, 0.003, 0.439, 0.504
 256.889, -0.155, -0.221, 428.251, -0.020, 0.006, 0.434, 0.496
 259.747, -0.162, -0.225, 421.440, -0.028, 0.008, 0.428, 0.486
 262.536, -0.171, -0.228, 414.609, -0.037, 0.009, 0.423, 0.475
 265.308, -0.180, -0.232, 407.803, -0.046, 0.009, 0.418, 0.464
 268.077, -0.189, -0.236, 401.035, -0.056, 0.009, 0.412, 0.453
 270.845, -0.198, -0.239, 394.307, -0.065, 0.009, 0.407, 0.442
 273.608, -0.207, -0.243, 387.622, -0.075, 0.009, 0.402, 0.432
 276.373, -0.216, -0.246, 380.979, -0.085, 0.009, 0.397, 0.422
 279.174, -0.224, -0.250, 374.414, -0.093, 0.008, 0.392, 0.412
 282.053, -0.232, -0.253, 367.969, -0.102, 0.007, 0.388, 0.403
 285.014, -0.240, -0.256, 361.647, -0.110, 0.006, 0.383, 0.396
 288.043, -0.246, -0.259, 355.431, -0.117, 0.006, 0.378, 0.388
 291.132, -0.252, -0.263, 349.313, -0.124, 0.005, 0.374, 0.382
 294.240, -0.259, -0.266, 343.259, -0.131, 0.005, 0.370, 0.380
 297.389, -0.264, -0.269, 337.287, -0.137, 0.005, 0.379, 0.382
 300.586, -0.270, -0.272, 331.408, -0.144, 0.005, 0.387, 0.388
 303.836, -0.276, -0.275, 325.624, -0.151, 0.004, 0.395, 0.394
 307.068, -0.280, -0.279, 319.868, -0.156, 0.003, 0.400, 0.399
 496.787, -2.147, 0.576, 259.873, 1.571, 1.214, 0.750, -0.750
 496.786, -2.142, 0.576, 259.873, 1.576, -0.005, 0.750, -0.715
 496.761, -2.128, 0.576, 259.903, 1.590, -0.015, 0.750, -0.656
 496.761, -2.103, 0.576, 259.904, 1.614, -0.024, 0.750, -0.611
 496.770, -2.070, 0.576, 259.894, 1.648, -0.034, 0.750, -0.536
 496.787, -2.026, 0.576, 259.875, 1.691, -0.043, 0.750, -0.458
 496.806, -1.973, 0.576, 259.853, 1.744, -0.053, 0.750, -0.393
 496.799, -1.911, 0.576, 259.859, 1.807, -0.062, 0.750, -0.324
 496.767, -1.839, 0.576, 259.895, 1.878, -0.072, 0.750, -0.236
 496.765, -1.760, 0.576, 259.920, 1.958, -0.080, 0.750, -0.156
 496.777, -1.675, 0.577, 259.995, 2.043, -0.085, 0.750, -0.089
 496.783, -1.589, 0.577, 260.182, 2.130, -0.087, 0.750, -0.039
 496.757, -1.502, 0.578, 260.513, 2.218, -0.088, 0.750, 0.007
 496.744, -1.415, 0.580, 260.961, 2.307, -0.089, 0.750, 0.056
 496.660, -1.328, 0.582, 261.596, 2.395, -0.089, 0.750, 0.109
 496.495, -1.241, 0.584, 262.425, 2.485, -0.089, 0.750, 0.170
 496.200, -1.154, 0.587, 263.478, 2.574, -0.089, 0.750, 0.240
 495.685, -1.068, 0.590, 264.810, 2.664, -0.090, 0.750, 0.322
 494.986, -0.981, 0.593, 266.397, 2.754, -0.090, 0.750, 0.344
 494.044, -0.894, 0.597, 268.259, 2.844, -0.091, 0.750, 0.346
 492.837, -0.807, 0.601, 270.400, 2.935, -0.091, 0.750, 0.347
 491.367, -0.720, 0.605, 272.807, 3.026, -0.091, 0.750, 0.349
 489.641, -0.632, 0.609, 275.471, 3.118, -0.092, 0.750, 0.350
 487.664, -0.545, 0.613, 278.379, -3.073, -0.092, 0.750, 0.351
 485.409, -0.457, 0.617, 281.519, -2.981, -0.092, 0.604, 0.353
 482.869, -0.368, 0.621, 284.861, -2.888, -0.092, 0.481, 0.353
 480.081, -0.281, 0.625, 288.340, -2.798, -0.091, 0.403, 0.347
 477.124, -0.199, 0.629, 291.833, -2.712, -0.086, 0.422, 0.448
 474.032, -0.123, 0.632, 295.249, -2.632, -0.079, 0.447, 0.538
 470.805, -0.051, 0.635, 298.631, -2.558, -0.074, 0.466, 0.649
 467.427, 0.018, 0.637, 301.968, -2.487, -0.070, 0.481, 0.750
 463.898, 0.083, 0.638, 305.233, -2.420, -0.067, 0.492, 0.750
 460.201, 0.148, 0.639, 308.444, -2.354, -0.066, 0.499, 0.750
 456.344, 0.212, 0.639, 311.633, -2.290, -0.064, 0.446, 0.750
 452.367, 0.274, 0.639, 314.768, -2.228, -0.062, 0.357, 0.750
 448.345, 0.332, 0.638, 317.786, -2.171, -0.057, 0.275, 0.713
 444.379, 0.382, 0.637, 320.579, -2.122, -0.049, 0.202, 0.650
 440.517, 0.425, 0.635, 323.104, -2.082, -0.040, 0.145, 0.606
 436.709, 0.459, 0.632, 325.499, -2.050, -0.031, 0.199, 0.642
 432.953, 0.484, 0.630, 327.759, -2.027, -0.023, 0.256, 0.673
 429.215, 0.503, 0.627, 329.923, -2.012, -0.016, 0.312, 0.703
 425.469, 0.517, 0.623, 331.984, -2.002, -0.010, 0.368, 0.732
 421.662, 0.529, 0.619, 333.970, -1.994, -0.007, 0.425, 0.750
 417.759, 0.539, 0.614, 335.935, -1.989, -0.005, 0.484, 0.750
 413.702, 0.548, 0.609, 337.951, -1.984, -0.004, 0.544, 0.750
 409.500, 0.558, 0.604, 339.984, -1.980, -0.004, 0.608, 0.750
 405.137, 0.568, 0.598, 342.063, -1.976, -0.004, 0.672, 0.750
 400.603, 0.579, 0.591, 344.211, -1.971, -0.005, 0.731, 0.750
 395.907, 0.591, 0.584, 346.418, -1.966, -0.005, 0.730, 0.750
 391.058, 0.603, 0.577, 348.677, -1.961, -0.005, 0.729, 0.750
 386.061, 0.616, 0.569, 350.986, -1.956, -0.005, 0.729, 0.750
 380.921, 0.630, 0.560, 353.346, -1.952, -0.005, 0.729, 0.750
 375.657, 0.645, 0.550, 355.740, -1.946, -0.005, 0.728, 0.750
 370.259, 0.660, 0.540, 358.191, -1.941, -0.005, 0.727, 0.750
 364.736, 0.676, 0.530, 360.702, -1.936, -0.005, 0.727, 0.750
 359.102, 0.693, 0.518, 363.265, -1.936, -0.005, 0.727, 0.750
 353.365, 0.711, 0.506, 365.971, -1.948, -0.005, 0.721, 0.750
 347.541, 0.729, 0.492, 368.852, -1.961, -0.005, 0.702, 0.750
 341.644, 0.748, 0.478, 371.915, -1.974, -0.005, 0.683, 0.750
 335.673, 0.768, 0.463, 375.187, -1.988, -0.004, 0.664, 0.750
 329.644, 0.787, 0.448, 378.679, -2.002, -0.004, 0.641, 0.750
 323.600, 0.807, 0.431, 382.365, -2.018, -0.003, 0.617, 0.750
 317.575, 0.825, 0.413, 386.244, -2.036, -0.001, 0.592, 0.750
 311.614, 0.840, 0.394, 390.295, -2.058, 0.003, 0.565, 0.733
 305.713, 0.852, 0.375, 394.542, -2.084, 0.008, 0.537, 0.710
 299.889, 0.860, 0.355, 398.986, -2.115, 0.012, 0.508, 0.686
 294.181, 0.864, 0.334, 403.598, -2.149, 0.016, 0.478, 0.663
 288.612, 0.866, 0.312, 408.363, -2.186, 0.020, 0.448, 0.641
 283.168, 0.864, 0.291, 413.293, -2.226, 0.023, 0.417, 0.619
 277.830, 0.861, 0.269, 418.397, -2.267, 0.025, 0.385, 0.599
 272.624, 0.856, 0.247, 423.632, -2.308, 0.027, 0.354, 0.597
 267.508, 0.850, 0.226, 429.013, -2.350, 0.028, 0.323, 0.601
 262.488, 0.842, 0.204, 434.509, -2.392, 0.029, 0.292, 0.603
 257.530, 0.832, 0.183, 440.132, -2.435, 0.031, 0.262, 0.603
 252.657, 0.819, 0.162, 445.840, -2.481, 0.034, 0.232, 0.599
 247.829, 0.803, 0.141, 451.647, -2.529, 0.037, 0.202, 0.595
 243.013, 0.783, 0.120, 457.554, -2.579, 0.040, 0.172, 0.593
 238.230, 0.760, 0.100, 463.517, -2.630, 0.043, 0.163, 0.603
 233.431, 0.734, 0.080, 469.561, -2.684, 0.046, 0.175, 0.625
 228.625, 0.704, 0.061, 475.662, -2.740, 0.050, 0.189, 0.649
 223.825, 0.669, 0.042, 481.808, -2.801, 0.054, 0.208, 0.675
 218.980, 0.628, 0.023, 488.021, -2.866, 0.059, 0.226, 0.705
 214.066, 0.582, 0.005, 494.318, -2.936, 0.065, 0.246, 0.740
 209.020, 0.531, -0.014, 498.186, -2.250, 0.070, 0.240, 0.750
 203.794, 0.475, -0.032, 501.620, -2.335, 0.074, 0.223, 0.653
 198.448, 0.415, -0.049, 505.405, -2.423, 0.077, 0.207, 0.558
 193.040, 0.353, -0.065, 509.494, -2.511, 0.078, 0.183, 0.486
 187.649, 0.292, -0.080, 513.770, -2.595, 0.076, 0.188, 0.443
 182.284, 0.234, -0.094, 518.212, -2.675, 0.072, 0.237, 0.451
 176.914, 0.181, -0.107, 522.815, -2.749, 0.066, 0.280, 0.494
 171.525, 0.131, -0.119, 527.575, -2.816, 0.061, 0.296, 0.516
 166.136, 0.085, -0.130, 532.458, -2.879, 0.057, 0.366, 0.532
 160.709, 0.041, -0.139, 537.487, -2.937, 0.053, 0.454, 0.548
 155.197, 0.001, -0.147, 542.677, -2.990, 0.049, 0.537, 0.558
 149.572, -0.037, -0.154, 548.047, -3.038, 0.045, 0.529, 0.567
 143.773, -0.075, -0.160, 553.659, -3.085, 0.043, 0.521, 0.569
 137.824, -0.113, -0.163, 559.482, -3.129, 0.042, 0.517, 0.571
 131.731, -0.152, -0.165, 565.492, 3.113, 0.040, 0.514, 0.527
 125.556, -0.188, -0.165, 571.614, 3.076, 0.036, 0.503, 0.481
 119.338, -0.220, -0.164, 577.811, 3.044, 0.031, 0.487, 0.435
 113.121, -0.248, -0.161, 584.037, 3.018, 0.025, 0.474, 0.395
 106.948, -0.272, -0.156, 587.186, -1.999, 0.019, 0.477, 0.360
 100.839, -0.292, -0.149, 589.100, -2.011, 0.013, 0.496, 0.332
 94.794, -0.306, -0.140, 591.189, -2.017, 0.006, 0.515, 0.311
 88.815, -0.316, -0.129, 593.396, -2.016, -0.001, 0.532, 0.298
 82.887, -0.320, -0.116, 595.724, -2.007, -0.008, 0.550, 0.291
 77.016, -0.320, -0.101, 598.153, -1.992, -0.016, 0.569, 0.292
 71.194, -0.314, -0.084, 600.651, -1.969, -0.023, 0.592, 0.300
 65.384, -0.305, -0.065, 603.130, -1.941, -0.029, 0.600, 0.314
 59.560, -0.291, -0.045, 605.558, -1.907, -0.034, 0.560, 0.349
 53.698, -0.277, -0.022, 607.894, -1.870, -0.037, 0.554, 0.354
 47.796, -0.263, 0.001, 609.917, 1.309, -0.037, 0.544, 0.372
 41.836, -0.251, 0.026, 607.865, 1.346, -0.037, 0.550, 0.337
 35.802, -0.241, 0.054, 605.933, 1.384, -0.038, 0.553, 0.298
 29.742, -0.230, 0.084, 604.175, 1.424, -0.040, 0.549, 0.259
 23.721, -0.220, 0.117, 602.581, 1.467, -0.043, 0.542, 0.219
 20.314, -0.199, 0.142, 601.252, 1.515, -0.047, 0.503, 0.175
 23.160, -0.146, 0.141, 600.291, 1.566, -0.051, 0.489, 0.168
 26.039, -0.088, 0.135, 599.595, 1.619, -0.053, 0.501, 0.321
 28.940, -0.029, 0.127, 599.091, 1.671, -0.051, 0.521, 0.573
 31.769, 0.027, 0.117, 598.813, 1.717, -0.046, 0.548, 0.694
 34.468, 0.079, 0.105, 598.731, 1.757, -0.041, 0.575, 0.613
 37.026, 0.130, 0.090, 598.945, 1.794, -0.037, 0.556, 0.604
 39.412, 0.182, 0.073, 599.456, 1.829, -0.035, 0.490, 0.618
 41.671, 0.232, 0.054, 600.231, 1.860, -0.032, 0.417, 0.634
 43.903, 0.279, 0.032, 601.291, 1.886, -0.025, 0.350, 0.673
 46.142, 0.319, 0.009, 602.536, 1.903, -0.018, 0.293, 0.729
 48.434, 0.352, -0.015, 604.000, 1.912, -0.009, 0.218, 0.719
 50.801, 0.376, -0.040, 605.661, 1.912, 0.000, 0.143, 0.678
 53.207, 0.390, -0.065, 607.391, 1.902, 0.010, 0.095, 0.633
 55.652, 0.393, -0.088, 609.182, 1.882, 0.020, 0.058, 0.587
 58.137, 0.387, -0.111, 609.004, -1.288, 0.029, 0.035, 0.540
 60.676, 0.373, -0.133, 607.212, -1.324, 0.036, 0.024, 0.503
 63.274, 0.350, -0.153, 605.472, -1.366, 0.042, 0.025, 0.499
 65.945, 0.320, -0.170, 603.867, -1.413, 0.047, 0.035, 0.489
 68.707, 0.285, -0.186, 602.406, -1.463, 0.050, 0.056, 0.494
 71.568, 0.245, -0.198, 601.134, -1.516, 0.053, 0.084, 0.499
 74.511, 0.199, -0.209, 600.008, -1.571, 0.056, 0.071, 0.479
 77.520, 0.148, -0.217, 599.070, -1.630, 0.059, 0.164, 0.487
 80.568, 0.093, -0.223, 598.414, -1.691, 0.060, 0.253, 0.489
 83.596, 0.036, -0.226, 598.034, -1.750, 0.059, 0.351, 0.490
 86.532, -0.019, -0.226, 597.981, -1.804, 0.055, 0.426, 0.503
 89.342, -0.071, -0.224, 598.230, -1.855, 0.050, 0.429, 0.519
 92.025, -0.121, -0.221, 598.714, -1.900, 0.046, 0.433, 0.534
 94.537, -0.170, -0.216, 599.450, -1.944, 0.043, 0.440, 0.483
 96.904, -0.218, -0.209, 600.491, -1.985, 0.041, 0.445, 0.437
 99.190, -0.264, -0.201, 601.845, -2.022, 0.037, 0.426, 0.371
 101.443, -0.306, -0.191, 603.407, -2.053, 0.031, 0.462, 0.312
 103.710, -0.341, -0.180, 605.161, -2.076, 0.024, 0.491, 0.262
 106.013, -0.369, -0.168, 607.105, -2.092, 0.016, 0.523, 0.241
 108.374, -0.390, -0.155, 607.246, -0.842, 0.008, 0.551, 0.222
 110.782, -0.404, -0.142, 602.403, -0.215, -0.001, 0.540, 0.236
 113.231, -0.410, -0.128, 597.120, -0.207, -0.009, 0.552, 0.216
 115.680, -0.408, -0.114, 591.833, -0.193, -0.016, 0.558, 0.194
 118.116, -0.398, -0.100, 586.536, -0.170, -0.024, 0.584, 0.196
 120.532, -0.380, -0.087, 581.227, -0.140, -0.032, 0.610, 0.206
 122.900, -0.354, -0.075, 575.888, -0.102, -0.039, 0.579, 0.243
 125.171, -0.321, -0.063, 570.498, -0.059, -0.045, 0.545, 0.290
 127.310, -0.283, -0.053, 565.032, -0.011, -0.048, 0.516, 0.344
 129.302, -0.246, -0.044, 559.492, 0.035, -0.047, 0.516, 0.398
 131.128, -0.209, -0.036, 553.852, 0.080, -0.045, 0.543, 0.450
 132.749, -0.174, -0.029, 548.073, 0.122, -0.043, 0.566, 0.501
 134.106, -0.139, -0.024, 542.128, 0.164, -0.042, 0.573, 0.541
 135.211, -0.104, -0.019, 536.018, 0.205, -0.040, 0.561, 0.566
 136.093, -0.070, -0.015, 529.783, 0.244, -0.038, 0.551, 0.599
 136.761, -0.038, -0.013, 523.432, 0.281, -0.035, 0.562, 0.660
 137.204, -0.008, -0.011, 516.948, 0.316, -0.033, 0.586, 0.732
 137.421, 0.022, -0.010, 510.343, 0.350, -0.031, 0.574, 0.750
 137.442, 0.052, -0.011, 503.684, 0.382, -0.029, 0.592, 0.750
 137.268, 0.079, -0.013, 496.949, 0.412, -0.026, 0.593, 0.750
 136.894, 0.106, -0.017, 490.131, 0.440, -0.024, 0.557, 0.750
 136.348, 0.131, -0.021, 483.254, 0.466, -0.021, 0.512, 0.750
 135.693, 0.151, -0.026, 476.375, 0.487, -0.016, 0.472, 0.750
 134.982, 0.166, -0.033, 469.555, 0.501, -0.008, 0.438, 0.750
 134.226, 0.173, -0.041, 462.789, 0.508, -0.001, 0.412, 0.750
 133.418, 0.174, -0.049, 456.050, 0.507, 0.007, 0.395, 0.711
 132.563, 0.166, -0.057, 449.334, 0.499, 0.015, 0.387, 0.674
 131.673, 0.152, -0.066, 442.647, 0.484, 0.023, 0.388, 0.645
 130.739, 0.131, -0.075, 435.952, 0.462, 0.029, 0.398, 0.625
 129.765, 0.105, -0.084, 429.253, 0.435, 0.034, 0.413, 0.616
 128.754, 0.077, -0.093, 422.549, 0.407, 0.036, 0.430, 0.606
 127.699, 0.047, -0.100, 415.807, 0.378, 0.036, 0.472, 0.597
 126.579, 0.019, -0.107, 408.985, 0.351, 0.035, 0.523, 0.594
 125.376, -0.008, -0.112, 402.062, 0.327, 0.031, 0.558, 0.599
 124.077, -0.031, -0.116, 395.027, 0.307, 0.027, 0.544, 0.606
 122.666, -0.054, -0.119, 387.861, 0.290, 0.024, 0.531, 0.612
 121.126, -0.075, -0.121, 380.575, 0.274, 0.023, 0.520, 0.589
 119.472, -0.096, -0.122, 373.176, 0.260, 0.021, 0.513, 0.550
 117.789, -0.115, -0.122, 365.736, 0.249, 0.018, 0.520, 0.529
 116.120, -0.132, -0.120, 358.278, 0.240, 0.015, 0.527, 0.512
 114.482, -0.148, -0.117, 350.809, 0.234, 0.012, 0.534, 0.497
 112.861, -0.161, -0.113, 343.336, 0.232, 0.008, 0.541, 0.484
 111.242, -0.170, -0.108, 335.853, 0.234, 0.004, 0.547, 0.472
 109.620, -0.176, -0.102, 328.350, 0.240, -0.001, 0.552, 0.462
 108.027, -0.179, -0.095, 320.892, 0.251, -0.005, 0.556, 0.453
 106.488, -0.178, -0.088, 313.503, 0.265, -0.009, 0.563, 0.449
 104.991, -0.175, -0.081, 306.158, 0.282, -0.011, 0.583, 0.463
 103.474, -0.169, -0.073, 298.822, 0.303, -0.014, 0.604, 0.482
 101.888, -0.160, -0.066, 291.476, 0.326, -0.017, 0.624, 0.503
 100.206, -0.149, -0.058, 284.077, 0.352, -0.019, 0.644, 0.527
 98.399, -0.137, -0.051, 276.634, 0.380, -0.020, 0.657, 0.551
 96.459, -0.124, -0.043, 269.155, 0.409, -0.021, 0.659, 0.572
 94.330, -0.111, -0.037, 261.595, 0.439, -0.021, 0.660, 0.591
 91.994, -0.097, -0.031, 253.974, 0.471, -0.021, 0.663, 0.612
 89.437, -0.082, -0.026, 246.301, 0.503, -0.020, 0.667, 0.632
 86.681, -0.068, -0.022, 238.629, 0.535, -0.019, 0.674, 0.653
 83.738, -0.053, -0.019, 230.979, 0.568, -0.018, 0.681, 0.674
 80.604, -0.040, -0.017, 223.350, 0.601, -0.016, 0.688, 0.693
 77.264, -0.026, -0.016, 215.730, 0.634, -0.015, 0.693, 0.711
 73.715, -0.013, -0.016, 208.153, 0.669, -0.014, 0.693, 0.723
 69.975, -0.001, -0.017, 200.630, 0.703, -0.012, 0.695, 0.718
 66.072, 0.010, -0.020, 193.222, 0.737, -0.010, 0.661, 0.709
 62.025, 0.019, -0.023, 185.952, 0.771, -0.007, 0.611, 0.694
 57.891, 0.025, -0.028, 178.889, 0.802, -0.002, 0.578, 0.684
 53.726, 0.028, -0.034, 172.104, 0.831, 0.003, 0.583, 0.682
 49.558, 0.027, -0.042, 165.608, 0.858, 0.007, 0.595, 0.679
 45.367, 0.024, -0.050, 159.372, 0.883, 0.010, 0.610, 0.675
 41.131, 0.020, -0.059, 153.363, 0.910, 0.012, 0.660, 0.666
 36.846, 0.018, -0.068, 147.623, 0.940, 0.011, 0.669, 0.637
 32.506, 0.019, -0.077, 142.158, 0.976, 0.007, 0.662, 0.595
 28.147, 0.025, -0.087, 137.005, 1.019, 0.003, 0.634, 0.558
 23.840, 0.036, -0.097, 132.260, 1.068, -0.001, 0.587, 0.526
 19.653, 0.050, -0.108, 127.972, 1.121, -0.003, 0.533, 0.498
 19.709, 0.061, -0.117, 124.205, 1.175, -0.004, 0.491, 0.476
 252.794, -1.447, -0.124, 447.775, 1.913, 1.583, 0.750, -0.286
 252.788, -1.442, -0.124, 447.781, 1.918, -0.005, 0.721, -0.085
 252.775, -1.428, -0.124, 447.798, 1.932, -0.014, 0.676, -0.077
 252.707, -1.408, -0.124, 447.881, 1.953, -0.021, 0.645, -0.065
 252.633, -1.380, -0.123, 447.984, 1.981, -0.028, 0.621, -0.050
 252.553, -1.348, -0.122, 448.119, 2.014, -0.033, 0.608, -0.033
 252.470, -1.314, -0.121, 448.294, 2.051, -0.036, 0.603, -0.015
 252.347, -1.277, -0.119, 448.545, 2.091, -0.039, 0.597, 0.004
 252.174, -1.238, -0.116, 448.882, 2.134, -0.042, 0.589, 0.025
 251.934, -1.197, -0.113, 449.328, 2.180, -0.044, 0.587, 0.053
 251.567, -1.155, -0.109, 449.942, 2.228, -0.046, 0.589, 0.089
 251.118, -1.113, -0.105, 450.692, 2.277, -0.047, 0.594, 0.124
 250.575, -1.070, -0.100, 451.592, 2.327, -0.048, 0.599, 0.162
 249.913, -1.028, -0.094, 452.667, 2.378, -0.048, 0.606, 0.185
 249.118, -0.985, -0.087, 453.928, 2.431, -0.050, 0.613, 0.189
 248.152, -0.941, -0.081, 455.412, 2.485, -0.051, 0.621, 0.193
 247.013, -0.897, -0.073, 457.124, 2.540, -0.052, 0.631, 0.197
 245.659, -0.853, -0.065, 459.094, 2.596, -0.052, 0.641, 0.200
 244.095, -0.808, -0.057, 461.321, 2.653, -0.053, 0.653, 0.204
 242.314, -0.762, -0.048, 463.804, 2.711, -0.055, 0.666, 0.209
 240.355, -0.715, -0.039, 466.512, 2.771, -0.056, 0.680, 0.214
 238.080, -0.666, -0.030, 469.506, 2.832, -0.058, 0.694, 0.223
 235.490, -0.614, -0.021, 472.775, 2.895, -0.061, 0.709, 0.231
 232.596, -0.560, -0.012, 476.318, 2.960, -0.062, 0.725, 0.237
 229.409, -0.505, -0.004, 480.125, 3.024, -0.063, 0.714, 0.241
 225.967, -0.450, 0.004, 483.287, 2.306, -0.064, 0.620, 0.237
 222.277, -0.394, 0.013, 485.906, 2.377, -0.064, 0.548, 0.222
 218.369, -0.337, 0.021, 488.805, 2.449, -0.065, 0.495, 0.229
 214.271, -0.280, 0.029, 491.970, 2.520, -0.065, 0.464, 0.292
 210.010, -0.225, 0.036, 495.362, 2.588, -0.062, 0.481, 0.351
 205.588, -0.173, 0.043, 498.989, 2.653, -0.059, 0.517, 0.406
 200.981, -0.124, 0.050, 502.885, 2.715, -0.056, 0.535, 0.443
 196.175, -0.075, 0.056, 507.062, 2.774, -0.054, 0.543, 0.475
 191.160, -0.028, 0.061, 511.537, 2.831, -0.053, 0.549, 0.565
 185.940, 0.019, 0.065, 516.290, 2.887, -0.051, 0.554, 0.641
 180.522, 0.066, 0.069, 521.298, 2.941, -0.050, 0.558, 0.637
 174.943, 0.112, 0.071, 526.560, 2.993, -0.048, 0.565, 0.635
 169.211, 0.158, 0.072, 532.050, 3.042, -0.046, 0.524, 0.627
 163.347, 0.202, 0.072, 537.731, 3.088, -0.044, 0.461, 0.613
 157.416, 0.242, 0.070, 543.548, 3.130, -0.039, 0.403, 0.600
 151.512, 0.277, 0.067, 549.422, -3.120, -0.032, 0.353, 0.604
 145.647, 0.305, 0.062, 555.323, -3.096, -0.023, 0.313, 0.623
 139.834, 0.327, 0.056, 561.234, -3.080, -0.015, 0.282, 0.640
 134.096, 0.341, 0.048, 567.143, -3.074, -0.006, 0.262, 0.657
 128.425, 0.348, 0.038, 573.054, -3.077, 0.003, 0.252, 0.676
 122.773, 0.347, 0.027, 578.984, -3.088, 0.011, 0.252, 0.691
 117.134, 0.340, 0.015, 584.938, -3.108, 0.020, 0.264, 0.649
 111.485, 0.325, 0.002, 590.928, -3.136, 0.028, 0.285, 0.610
 105.796, 0.303, -0.011, 595.951, -2.532, 0.035, 0.293, 0.574
 100.076, 0.278, -0.025, 600.824, -2.577, 0.040, 0.301, 0.544
 94.323, 0.250, -0.040, 604.626, -1.361, 0.043, 0.311, 0.529
 88.524, 0.221, -0.055, 602.922, -1.405, 0.044, 0.321, 0.540
 82.637, 0.192, -0.070, 601.414, -1.449, 0.044, 0.324, 0.549
 76.675, 0.162, -0.085, 600.093, -1.494, 0.045, 0.295, 0.537
 70.678, 0.130, -0.099, 599.008, -1.540, 0.046, 0.263, 0.520
 64.737, 0.098, -0.114, 598.087, -1.586, 0.047, 0.266, 0.513
 58.862, 0.065, -0.128, 597.351, -1.634, 0.047, 0.337, 0.512
 52.988, 0.033, -0.142, 596.878, -1.680, 0.046, 0.433, 0.518
 47.037, 0.003, -0.154, 596.646, -1.722, 0.042, 0.581, 0.515
 40.991, -0.024, -0.166, 596.656, -1.760, 0.038, 0.703, 0.512
 34.873, -0.047, -0.174, 597.039, -1.792, 0.032, 0.661, 0.501
 28.678, -0.067, -0.180, 597.671, -1.818, 0.026, 0.628, 0.491
 22.371, -0.083, -0.186, 598.442, -1.840, 0.022, 0.602, 0.483
 19.970, -0.090, -0.196, 599.461, -1.856, 0.017, 0.588, 0.469
 23.421, -0.088, -0.212, 600.663, -1.868, 0.012, 0.584, 0.447
 26.760, -0.085, -0.223, 602.063, -1.875, 0.007, 0.584, 0.430
 29.994, -0.080, -0.232, 603.597, -1.876, 0.001, 0.589, 0.418
 33.119, -0.071, -0.239, 605.237, -1.872, -0.004, 0.601, 0.408
 36.140, -0.058, -0.244, 607.013, -1.862, -0.010, 0.621, 0.401
 39.029, -0.042, -0.248, 608.865, -1.848, -0.014, 0.651, 0.395
 41.792, -0.020, -0.252, 609.290, 1.313, -0.019, 0.630, 0.390
 44.448, 0.006, -0.256, 607.451, 1.337, -0.024, 0.580, 0.384
 47.011, 0.037, -0.260, 605.671, 1.365, -0.028, 0.432, 0.377
 49.563, 0.069, -0.266, 603.966, 1.394, -0.028, 0.321, 0.369
 52.184, 0.097, -0.272, 602.389, 1.418, -0.024, 0.248, 0.360
 54.891, 0.122, -0.280, 600.968, 1.437, -0.019, 0.198, 0.350
 57.706, 0.143, -0.287, 599.657, 1.452, -0.015, 0.164, 0.338
 60.682, 0.162, -0.296, 598.461, 1.465, -0.013, 0.100, 0.388
 63.818, 0.179, -0.305, 597.431, 1.475, -0.010, 0.043, 0.442
 67.055, 0.191, -0.314, 596.573, 1.479, -0.005, 0.019, 0.484
